Word,Frequency
the,180
Java,145
of,115
and,83
to,76
in,72
a,68
is,63
for,59
as,35
with,35
that,35
by,34
The,28
are,25
an,23
on,22
Sun,20
was,19
implementation,17
memory,16
or,16
be,16
has,15
not,15
from,15
run,15
support,14
Android,14
Oracle,14
code,13
its,13
use,12
such,12
but,12
can,11
which,11
language,11
standard,11
it,10
In,10
This,10
machine,10
bytecode,10
other,9
been,9
web,9
virtual,9
software,9
does,9
under,8
APIs,8
It,8
all,8
this,7
implementations,7
SE,7
still,7
their,7
May,7
program,7
some,7
applications,7
were,6
no,6
On,6
most,6
class,6
Garbage,6
released,6
there,6
compiled,6
objects,6
at,6
"Java,",6
type,6
versions,6
"classes,",6
different,6
have,6
garbage,6
written,6
platform,6
runtime,6
developers,5
through,5
programs,5
into,5
As,5
system,5
"However,",5
servlet,5
Sun's,5
instead,5
style,5
had,5
JavaFX,5
API,5
used,5
Javadoc,5
two,5
types,5
available,5
any,5
data,5
Java's,5
intended,5
multiple,5
object,5
SDK,5
container,5
typically,5
more,5
"11,",4
free,4
contains,4
court,4
object-oriented,4
code.,4
syntax,4
own,4
also,4
comments,4
performance,4
almost,4
called,4
OpenJDK,4
provides,4
uses,4
"8,",4
than,4
development,4
hardware,4
January,4
features,4
Microsystems,4
longer,4
If,4
Court,4
look,4
reference,4
programming,4
library,4
Microsoft,4
application,4
native,4
may,4
popular,4
using,4
after,4
when,4
1.0,3
handling,3
"*/,",3
improved,3
addition,3
management,3
technology,3
these,3
access,3
platforms.,3
problem,3
desktop,3
Java.,3
methods,3
new,3
if,3
public,3
compiler,3
introduced,3
time,3
programmers,3
Collector,3
built,3
"SE,",3
C++,3
possible,3
renamed,3
those,3
long-term,3
requests,3
Community,3
HTML,3
HTTP,3
Swing,3
builds,3
Appeals,3
feel,3
"Windows,",3
although,3
Gosling,3
James,3
designed,3
JVM,3
platforms,3
without,3
supported,3
each,3
security,3
did,3
will,3
JDK,3
environments,3
(such,3
"2016,",3
either,3
ruling,3
"C++,",3
Google,3
similar,3
include,3
core,3
technologies,3
server-side,3
user,3
create,3
documentation,3
allow,3
version,3
one,3
default,3
official,3
HotSpot,3
classes,3
made,3
release,3
exceptions.,2
supports,2
devices,2
runs,2
browser,2
Environment,2
"code,",2
9,2
means,2
based,2
goal,2
design,2
separate,2
April,2
One,2
ME,2
fair,2
inside,2
superseded,2
commonly,2
prevent,2
due,2
during,2
directly,2
operating,2
they,2
offer,2
organized,2
provide,2
2019,2
8,2
way,2
(JRE),2
LTS,2
overhead,2
There,2
interpreted,2
instructions,2
releasing,2
(LTS),2
Runtime,2
creating,2
compilers,2
many,2
primary,2
dispute,2
allows,2
introduction,2
delimiters,2
"Linux,",2
well,2
GUI,2
6,2
considered,2
macOS.,2
Sun.,2
"2012,",2
interface,2
graphical,2
clients.,2
added,2
responses,2
generate,2
components,2
San,2
EE,2
business,2
Web,2
pages,2
Oracle's,2
"applications,",2
generics,2
part,2
"machine,",2
"library,",2
license,2
compatible.,2
order,2
implementation.,2
"7,",2
source,2
GPL.,2
required,2
